country,date,value
United Kingdom,1972,0.28800000000000003
United Kingdom,1971,0.293
United Kingdom,1970,0.28
United Kingdom,1969,0.27899999999999997
United Kingdom,1968,0.268
United Kingdom,1967,
United Kingdom,1966,
United Kingdom,1965,
United Kingdom,1964,
United Kingdom,1963,
United Kingdom,1962,
United Kingdom,1961,
United Kingdom,1960,
United States,2024,
United States,2023,
United States,2022,0.413
United States,2021,0.397
United States,2020,0.397
United States,2019,0.415
United States,2018,0.414
United States,2017,0.41200000000000003
United States,2016,0.41100000000000003
United States,2015,0.41200000000000003
United States,2014,0.415
United States,2013,0.406
United States,2012,0.409
United States,2011,0.409
United States,2010,0.4
United States,2009,0.406
United States,2008,0.408
United States,2007,0.408
United States,2006,0.414
United States,2005,0.41
United States,2004,0.40299999999999997
United States,2003,0.408
United States,2002,0.40399999999999997
United States,2001,0.406
United States,2000,0.401
United States,1999,0.4
United States,1998,0.4
United States,1997,0.405
United States,1996,0.40299999999999997
United States,1995,0.39899999999999997
United States,1994,0.4
United States,1993,0.40399999999999997
United States,1992,0.384
United States,1991,0.38
United States,1990,0.38299999999999995
United States,1989,0.382
United States,1988,0.377
United States,1987,0.37200000000000005
United States,1986,0.376
United States,1985,0.376
United States,1984,0.373
United States,1983,0.373
United States,1982,0.36700000000000005
United States,1981,0.355
United States,1980,0.34700000000000003
United States,1979,0.348
United States,1978,0.348
United States,1977,0.355
United States,1976,0.35600000000000004
United States,1975,0.35600000000000004
United States,1974,0.355
United States,1973,0.361
United States,1972,0.36700000000000005
United States,1971,0.369
United States,1970,0.366
United States,1969,0.36
United States,1968,0.363
United States,1967,0.369
United States,1966,0.37799999999999995
United States,1965,0.375
United States,1964,0.381
United States,1963,0.376
United States,1962,
United States,1961,
United States,1960,
